"rental_id","customer_first_name","customer_last_name","region","country","film_title","film_rating","genre","paid_amount","rental_duration"
15392,"Curtis","Irby","America","Canada","Canyon Stock","R","Animation","3.99","9"
1838,"Brenda","Wright","Asia","India","Camelot Vacation","NC-17","Sci-Fi","1.99","3"
4618,"Dana","Hart","Asia","Russian Federation","Sleuth Orient","NC-17","Games","2.99","5"
13317,"Sharon","Robinson","Asia","Pakistan","Robbers Joon","PG-13","Children","2.99","1"
5830,"Cheryl","Murphy","Asia","India","Leathernecks Dwarfs","PG-13","Travel","4.99","8"
4067,"Wesley","Bull","Europe","Spain","Outbreak Divine","NC-17","Games","3.99","8"
1638,"Ana","Bradley","America","United States","High Encino","R","Horror","2.99","1"
13330,"Sherri","Rhodes","Asia","India","Vacation Boondock","R","Sci-Fi","2.99","0"
3210,"Tammy","Sanders","Asia","Taiwan","Bucket Brotherhood","PG","Travel","4.99","2"
10583,"Ethel","Webb","Africa","South Africa","Clash Freddy","G","Animation","2.99","2"
8017,"Jeffrey","Spear","Asia","Indonesia","Grit Clockwork","PG","Games","1.99","4"
14165,"Danielle","Daniels","America","Mexico","Tracy Cider","G","Animation","0.99","3"
12600,"Dolores","Wagner","Asia","Malaysia","Flatliners Killer","G","Sports","4.99","7"
10323,"Clifton","Malcolm","Asia","Taiwan","Searchers Wait","NC-17","Comedy","4.99","5"
2189,"Reginald","Kinder","Asia","Indonesia","Barefoot Manchurian","G","Action","3.99","6"
4302,"Stephen","Qualls","Asia","Bangladesh","Slacker Liaisons","R","Drama","6.99","9"
3216,"Christian","Jung","Asia","India","Clones Pinocchio","R","Music","4.99","8"
13486,"Naomi","Jennings","Asia","India","Wild Apollo","R","New","0.99",NULL
8532,"Kelly","Knott","Asia","China","Peak Forever","PG","Sports","4.99","4"
15854,"Jerome","Kenyon","America","Chile","Glass Dying","G","Action","0.99","3"
13914,"Tanya","Gilbert","Asia","South Korea","Paycheck Wait","PG-13","Drama","6.99","5"
14819,"Curtis","Irby","America","Canada","Odds Boogie","NC-17","Family","2.99","8"
9422,"Gordon","Allard","Asia","Yemen","Harper Dying","G","Animation","5.99","7"
15134,"Laura","Rodriguez","Africa","Morocco","Whale Bikini","PG-13","Foreign","7.99","7"
14490,"Eileen","Carr","America","Paraguay","Grosse Wonderful","R","Music","6.99","7"
12160,"Herman","Devore","Africa","Tanzania","Exorcist Sting","G","Sports","2.99","1"
15732,"Allen","Butterfield","Asia","India","Range Moonwalker","PG","Family","4.99","3"
8477,"Justin","Ngo","America","Brazil","Seven Swarm","R","Games","8.99","7"
8126,"Clinton","Buford","America","United States","Clones Pinocchio","R","Music","4.99","7"
4285,"Thomas","Grigsby","America","United States","California Birds","NC-17","Sports","8.99","7"
8397,"Gabriel","Harder","Asia","Turkey","Searchers Wait","NC-17","Comedy","2.99","2"
13902,"Carole","Barnett","America","United States","Drums Dynamite","PG","Horror","0.99","4"
5481,"Zachary","Hite","America","United States","Carrie Bunch","PG","Horror","0.99","1"
8346,"Phillip","Holm","Asia","Japan","Lust Lock","G","Action","2.99","2"
11161,"Angel","Barclay","Asia","Japan","Ridgemont Submarine","PG-13","New","1.99","3"
4153,"James","Gannon","Asia","Japan","Italian African","G","Travel","5.99","3"
13863,"Ken","Prewitt","Europe","Romania","Lola Agent","PG","Horror","9.99","9"
6387,"Ernest","Stepp","Asia","China","Grapes Fury","G","Foreign","0.99","2"
12640,"Cody","Nolen","America","Brazil","Graffiti Love","PG","Sci-Fi","3.99","6"
5951,"Tracy","Herrmann","America","Ecuador","Magnolia Forrester","PG-13","Action","0.99","2"
10518,"Armando","Gruber","Europe","United Kingdom","Whale Bikini","PG-13","Foreign","6.99","5"
11905,"Joe","Gilliland","Asia","Philippines","Mosquito Armageddon","G","Sports","3.99","8"
12851,"Kristen","Chavez","Asia","Japan","Rider Caddyshack","PG","Sports","3.99","6"
14312,"Nellie","Garrett","Asia","India","Doors President","NC-17","Animation","4.99","1"
5609,"Lester","Kraus","Asia","India","Frost Head","PG","Classics","0.99","2"
14723,"Allan","Cornish","Asia","Philippines","Mulan Moon","G","Comedy","6.99","9"
3752,"Jackie","Lynch","America","Colombia","Yentl Idaho","R","Horror","6.99","6"
11801,"Ellen","Simpson","America","Brazil","Chill Luck","PG","Drama","0.99","5"
6064,"Sherri","Rhodes","Asia","India","Bear Graceland","R","Children","6.99","7"
14190,"Brad","Mccurdy","Asia","Taiwan","Trouble Date","PG","Travel","4.99","8"
5615,"Audrey","Ray","Europe","Austria","Forward Temple","NC-17","Games","3.99","7"
10335,"Anna","Hill","Europe","Italy","Bill Others","PG","Documentary","2.99","3"
12253,"Theodore","Culp","Asia","India","Carrie Bunch","PG","Horror","0.99","1"
12985,"Louise","Jenkins","Africa","South Africa","Tourist Pelican","PG-13","Sports","5.99","4"
11967,"Roland","South","Asia","China","Driver Annie","PG-13","Sports","3.99","4"
12611,"Willie","Markham","America","Argentina","Hobbit Alien","PG-13","Drama","1.99","5"
6010,"Miriam","Mckinney","Asia","Japan","Comancheros Enemy","R","Children","0.99","2"
11118,"Helen","Harris","Asia","India","Lock Rear","R","Travel","2.99","2"
8147,"Allison","Stanley","Asia","Cambodia","Chaplin License","NC-17","New","2.99","1"
6710,"Warren","Sherrod","Asia","Russian Federation","Confused Candles","PG-13","Family","7.99","7"
14396,"Jonathan","Scarborough","America","Mexico","Steers Armageddon","PG","Sports","4.99","0"
9083,"Shane","Millard","America","Mexico","Brooklyn Desert","R","Foreign","5.99","8"
5987,"Clifford","Bowens","Asia","Russian Federation","Desire Alien","NC-17","Animation","2.99","5"
6632,"Leroy","Bustamante","Asia","China","Oscar Gold","PG","Animation","2.99","3"
3655,"Brent","Harkins","Asia","Turkey","Frida Slipper","R","Foreign","5.99","9"
1507,"Bernice","Willis","Asia","Turkey","Majestic Floats","PG","Documentary","0.99","3"
2265,"Margie","Wade","Asia","China","Phantom Glory","NC-17","New","2.99","1"
2826,"Ethel","Webb","Africa","South Africa","Panic Club","G","Horror","7.99","5"
8605,"Pearl","Garza","Asia","India","Splendor Patton","R","Children","4.99","8"
6179,"Carolyn","Perez","Asia","Thailand","Sinners Atlantis","PG-13","Horror","2.99","5"
8179,"Willard","Lumpkin","America","Mexico","Operation Operation","G","Comedy","2.99","1"
7613,"Carla","Gutierrez","Asia","India","Unforgiven Zoolander","PG","Sci-Fi","2.99","9"
13821,"Terry","Grissom","Asia","Japan","Loathing Legally","R","Classics","1.99","5"
4468,"Beatrice","Arnold","Asia","India","Resurrection Silverado","PG","Family","0.99","4"
15464,"Joan","Cooper","America","United States","Rage Games","R","Family","6.99","6"
8698,"Gary","Coy","Asia","China","Packer Madigan","PG-13","Animation","3.99","5"
15816,"Brenda","Wright","Asia","India","Show Lord","PG-13","Documentary","6.99","4"
9328,"Julia","Flores","America","Argentina","Doom Dancing","R","Comedy","2.99","5"
8715,"Lisa","Anderson","Asia","Japan","Creatures Shakespeare","NC-17","Games","0.99","2"
12975,"Marcia","Dean","Asia","Philippines","Reservoir Adaptation","PG-13","Foreign","2.99","5"
4996,"Carrie","Porter","Asia","China","Westward Seabiscuit","NC-17","Classics","0.99","7"
14648,"Sonia","Gregory","Africa","Nigeria","Jet Neighbors","R","Foreign","4.99","3"
4774,"Ricardo","Meador","Asia","Japan","Chocolat Harry","NC-17","Family","3.99","8"
11403,"Sergio","Stanfield","America","Mexico","Thief Pelican","PG-13","Animation","4.99","1"
3137,"Rafael","Abney","Asia","Philippines","Coneheads Smoochy","NC-17","Drama","5.99","7"
1732,"Carrie","Porter","Asia","China","Kick Savannah","PG-13","Travel","0.99","1"
1530,"Sean","Douglass","Africa","Ethiopia","Lolita World","NC-17","Family","6.99","8"
10741,"Wesley","Bull","Europe","Spain","Reservoir Adaptation","PG-13","Foreign","2.99","3"
11777,"Louise","Jenkins","Africa","South Africa","Theory Mermaid","PG-13","Animation","4.99","9"
11866,"Jeanne","Lawson","Asia","Turkmenistan","Mulholland Beast","PG","Foreign","2.99",NULL
15993,"Nancy","Thomas","Asia","India","Gilbert Pelican","G","Classics","0.99","3"
5253,"Neil","Renner","Asia","Vietnam","Jerk Paycheck","NC-17","Classics","7.99","8"
7014,"Jared","Ely","Asia","Indonesia","Clerks Angels","G","Documentary","8.99","6"
8538,"Reginald","Kinder","Asia","Indonesia","Spartacus Cheaper","NC-17","Family","6.99","6"
7042,"Melanie","Armstrong","Asia","Philippines","Borrowers Bedazzled","G","Animation","0.99","4"
5453,"Connie","Wallace","Asia","Russian Federation","Gun Bonnie","G","Games","3.99","9"
8607,"Joshua","Mark","Asia","India","Vanilla Day","NC-17","Games","4.99","1"
8741,"Barbara","Jones","Asia","Myanmar","Arachnophobia Rollercoaster","PG-13","Horror","3.99","4"
14284,"Glen","Talbert","America","Mexico","Chariots Conspiracy","R","Sci-Fi","4.99","6"
1483,"Glenda","Frazier","Asia","China","Hobbit Alien","PG-13","Drama","4.99","8"
14537,"Leonard","Schofield","America","Argentina","Sorority Queen","NC-17","Foreign","0.99","2"
8593,"Ana","Bradley","America","United States","Metal Armageddon","PG-13","Documentary","5.99","8"
3612,"Luis","Yanez","Europe","France","Luck Opus","NC-17","Drama","3.99","7"
15446,"Carlos","Coughlin","Asia","India","Calendar Gunfight","NC-17","Foreign","4.99","3"
10039,"Carmen","Owens","America","Venezuela","Warlock Werewolf","G","Children","2.99","0"
4077,"Howard","Fortner","Asia","Iran","Louisiana Harry","PG-13","Family","0.99","2"
7050,"Doris","Reed","Asia","Russian Federation","Dragonfly Strangers","NC-17","New","4.99","5"
15920,"Wilma","Richards","America","United States","Barbarella Streetcar","G","Sci-Fi","2.99","3"
12826,"Alexander","Fennell","Europe","Italy","Encounters Curtain","NC-17","Drama","3.99","7"
7101,"Bessie","Morrison","Europe","Italy","House Dynamite","R","Family","2.99","2"
1840,"Stanley","Scroggins","Asia","Japan","Bird Independence","G","Travel","4.99","4"
1785,"Diane","Collins","Africa","Sudan","Rugrats Shakespeare","PG-13","Action","4.99","7"
5763,"Jimmy","Schrader","Asia","Russian Federation","Coldblooded Darling","G","Sci-Fi","4.99","3"
3891,"Max","Pitt","Europe","Yugoslavia","Queen Luke","PG","Drama","4.99","3"
11349,"Beverly","Brooks","Asia","Taiwan","Head Stranger","R","Games","4.99","4"
1953,"Leonard","Schofield","America","Argentina","Secret Groundhog","PG","Documentary","5.99","7"
9554,"Sam","Mcduffie","America","Colombia","Maude Mod","R","Foreign","0.99","1"
6451,"Bobby","Boudreau","America","Anguilla","Destiny Saturday","G","New","4.99","4"
8651,"Katherine","Rivera","Europe","Switzerland","Impact Aladdin","PG-13","Music","3.99","8"
5016,"Elizabeth","Brown","Asia","Taiwan","Head Stranger","R","Games","4.99","0"
10690,"Marilyn","Ross","Africa","Nigeria","Confused Candles","PG-13","Family","8.99","9"
6278,"Jimmie","Eggleston","Europe","Poland","Jericho Mulan","NC-17","Games","7.99","8"
2226,"Arlene","Harvey","Asia","India","Saturday Lambs","G","Sports","7.99","6"
9471,"Kyle","Spurlock","Asia","China","Lies Treatment","NC-17","Drama","4.99","4"
11356,"Jeanne","Lawson","Asia","Turkmenistan","Betrayed Rear","NC-17","Children","8.99","9"
11898,"Erica","Matthews","Asia","China","Prejudice Oleander","PG-13","Classics","5.99","6"
3620,"Bonnie","Hughes","Asia","South Korea","Go Purple","R","Music","0.99","1"
11754,"Cathy","Spencer","Asia","Japan","Sons Interview","NC-17","Animation","7.98",NULL
3438,"Armando","Gruber","Europe","United Kingdom","Grit Clockwork","PG","Games","6.99","8"
6214,"Joyce","Edwards","Asia","Saudi Arabia","Elizabeth Shane","NC-17","Sports","4.99","6"
1349,"Margie","Wade","Asia","China","Dragonfly Strangers","NC-17","New","4.99","2"
2518,"Jacqueline","Long","Asia","Thailand","Scalawag Duck","NC-17","Music","4.99","6"
7019,"Rick","Mattox","Africa","Egypt","Star Operation","PG","Sports","3.99","6"
5484,"Charlie","Bess","Asia","China","Range Moonwalker","PG","Family","7.99","5"
10085,"Sean","Douglass","Africa","Ethiopia","Mars Roman","NC-17","Games","0.99","2"
4085,"Byron","Box","Asia","Kazakstan","Goldmine Tycoon","R","Sci-Fi","0.99","4"
1664,"Natalie","Meyer","America","Brazil","Loverboy Attacks","PG-13","New","0.99","2"
3608,"Harry","Arce","Asia","Iran","Pinocchio Simon","PG","Comedy","4.99","4"
9269,"Ricky","Shelby","Asia","China","Caper Motions","G","Comedy","0.99","3"
10547,"Mike","Way","Asia","India","Graceland Dynamite","R","Sports","6.99","6"
5381,"Stephen","Qualls","Asia","Bangladesh","Patton Interview","PG","Horror","2.99","3"
4122,"Brenda","Wright","Asia","India","Beauty Grease","G","Drama","6.99","7"
5303,"Juan","Fraley","Asia","Russian Federation","Shakespeare Saddle","PG-13","Sports","2.99","6"
14066,"Naomi","Jennings","Asia","India","Lost Bird","PG-13","Foreign","7.99","8"
11015,"Hazel","Warren","Asia","China","Virgin Daisy","PG-13","Drama","4.99","5"
12990,"Ralph","Madrigal","America","Puerto Rico","Hanging Deep","G","Drama","4.99","2"
10968,"Claudia","Fuller","Asia","Kuwait","Crusade Honey","R","Sports","7.99","9"
14902,"Alfred","Casillas","Africa","Egypt","Creepers Kane","NC-17","Classics","4.99","1"
9187,"Wesley","Bull","Europe","Spain","Sweethearts Suspects","G","Children","2.99","5"
1563,"Patsy","Davidson","America","Ecuador","Forward Temple","NC-17","Games","2.99","1"
2853,"Calvin","Martel","America","Venezuela","Massage Image","PG","Animation","7.99","8"
9272,"Max","Pitt","Europe","Yugoslavia","Eyes Driving","PG-13","Sci-Fi","4.99","5"
5030,"Gilbert","Sledge","Europe","United Kingdom","African Egg","G","Family","4.99","7"
12383,"Daisy","Bates","Asia","Russian Federation","Gilmore Boiled","R","Classics","0.99","4"
7110,"Darlene","Rose","Asia","North Korea","Remember Diary","R","Family","2.99","0"
7020,"Leslie","Seward","Asia","Indonesia","Sundance Invasion","NC-17","Children","0.99","1"
9728,"Danny","Isom","Asia","Pakistan","Shrek License","PG-13","Foreign","2.99","2"
3012,"Terri","Vasquez","America","Brazil","Fatal Haunted","PG","New","4.99","7"
15440,"Everett","Banda","Africa","Egypt","Jingle Sagebrush","PG-13","Classics","4.99","1"
7814,"Myrtle","Fleming","America","Dominican Republic","Mixed Doors","PG-13","Foreign","2.99","4"
8025,"Lee","Hawks","Asia","India","Oscar Gold","PG","Animation","2.99","6"
10066,"Shannon","Freeman","Asia","India","Vampire Whale","NC-17","New","4.99","0"
7093,"Julian","Vest","Asia","Japan","Personal Ladybugs","PG-13","Music","1.99","4"
3648,"Wade","Delvalle","Europe","Switzerland","Natural Stock","PG-13","Family","0.99","3"
11287,"Doris","Reed","Asia","Russian Federation","Dancing Fever","G","Documentary","1.99","6"
12033,"Kevin","Schuler","Asia","Nepal","Mother Oleander","R","Sports","6.99","8"
13929,"Evelyn","Morgan","Europe","Liechtenstein","Darko Dorado","NC-17","Action","9.99","7"
11155,"Beverly","Brooks","Asia","Taiwan","Hours Rage","NC-17","New","0.99","0"
12604,"Nancy","Thomas","Asia","India","Torque Bound","G","Drama","4.99","1"
4170,"Emily","Diaz","Asia","South Korea","Mob Duffel","G","Drama","2.99","6"
6781,"Jessie","Milam","Asia","China","Spiking Element","G","Classics","2.99","3"
12883,"Dwight","Lombardi","Africa","South Africa","Dawn Pond","PG","Games","4.99","4"
9015,"Tara","Ryan","Asia","Indonesia","Torque Bound","G","Drama","10.99","9"
8232,"Karl","Seal","America","United States","Reap Unfaithful","PG-13","Horror","4.99","8"
13449,"Bryan","Hardison","America","United States","Enough Raging","NC-17","Travel","2.99","3"
12875,"Vernon","Chapa","Asia","Turkey","Graduate Lord","G","Children","2.99","6"
2682,"Ted","Breaux","Asia","China","Shock Cabin","PG-13","Foreign","4.99","9"
14463,"Bruce","Schwarz","Asia","Japan","Fellowship Autumn","NC-17","Travel","6.99","7"
8295,"Nathan","Runyon","America","Virgin Islands, U.S.","Idaho Love","PG-13","New","2.99","1"
4712,"Debra","Nelson","America","Brazil","Lesson Cleopatra","NC-17","Sports","6.99","9"
6638,"Wanda","Patterson","America","Colombia","Autumn Crow","G","Games","4.99","0"
10757,"Melanie","Armstrong","Asia","Philippines","American Circus","R","Action","4.99","2"
2796,"Tonya","Chapman","Asia","India","Lambs Cincinatti","PG-13","Games","4.99","5"
2220,"Sergio","Stanfield","America","Mexico","Bill Others","PG","Documentary","2.99","3"
6046,"Dave","Gardiner","Asia","China","Holes Brannigan","PG","Sports","5.99","8"
11507,"Marcia","Dean","Asia","Philippines","Troopers Metal","R","New","5.99","7"
13327,"Theresa","Watson","Asia","Philippines","Hall Cassidy","NC-17","Children","4.99","2"
6654,"Lloyd","Dowd","Asia","Indonesia","Notorious Reunion","NC-17","Documentary","1.99","7"
10315,"Myrtle","Fleming","America","Dominican Republic","Cupboard Sinners","R","Documentary","4.99","6"
14172,"Jay","Robb","Asia","Indonesia","Intrigue Worst","G","Foreign","0.99",NULL
15146,"Theresa","Watson","Asia","Philippines","Pirates Roxanne","PG","Sports","2.99","5"
11442,"Lucy","Wheeler","Asia","India","Metal Armageddon","PG-13","Documentary","2.99","4"
15766,"Troy","Quigley","America","Canada","Horror Reign","R","Travel","4.99","6"
12958,"Dave","Gardiner","Asia","China","Turn Star","G","Animation","2.99","0"
3985,"Joseph","Joy","America","Brazil","Impossible Prejudice","NC-17","Foreign","4.99","3"
9308,"Margie","Wade","Asia","China","Jason Trap","NC-17","Family","6.99","8"
8922,"Theodore","Culp","Asia","India","Goodfellas Salute","PG","Sci-Fi","9.99","9"
13448,"Larry","Thrasher","Asia","Turkey","Notorious Reunion","NC-17","Documentary","0.99","5"
15161,"Sharon","Robinson","Asia","Pakistan","Fireball Philadelphia","PG","Comedy","1.99","5"
3960,"Eduardo","Hiatt","Asia","China","Image Princess","PG-13","Sports","2.99","1"
3090,"Margie","Wade","Asia","China","Resurrection Silverado","PG","Family","0.99","2"
2940,"Beverly","Brooks","Asia","Taiwan","Maguire Apache","NC-17","Family","4.99","8"
13643,"Antonio","Meek","America","Brazil","Lost Bird","PG-13","Foreign","4.99","6"
3774,"Alexander","Fennell","Europe","Italy","Telemark Heartbreakers","PG-13","Animation","5.99","8"
14509,"Mitchell","Westmoreland","Asia","Vietnam","Canyon Stock","R","Animation","0.99","4"
15968,"Marsha","Douglas","Africa","Mozambique","Shepherd Midsummer","R","Children","0.99","0"
7437,"Juanita","Mason","Asia","India","Midnight Westward","G","Action","0.99","1"
6696,"Priscilla","Lowe","America","Mexico","Berets Agent","PG-13","Action","2.99","4"
3809,"Samuel","Marlow","Asia","India","Oscar Gold","PG","Animation","2.99","2"
12388,"Dwight","Lombardi","Africa","South Africa","Talented Homicide","PG","Sports","2.99","8"
6198,"Gordon","Allard","Asia","Yemen","Robbers Joon","PG-13","Children","2.99","6"
12217,"Dawn","Sullivan","Oceania","Tuvalu","Mars Roman","NC-17","Games","0.99","6"
3681,"Shelly","Watts","America","United States","Right Cranes","PG-13","Classics","4.99","5"
15743,"Amber","Dixon","Asia","Taiwan","Ghostbusters Elf","R","Animation","0.99","2"
11867,"Eddie","Tomlin","Asia","Philippines","Dares Pluto","PG-13","Animation","2.99","3"
13361,"Florence","Woods","America","Argentina","Vanilla Day","NC-17","Games","4.99","2"
6526,"Arlene","Harvey","Asia","India","Graffiti Love","PG","Sci-Fi","3.99","6"
3151,"Jane","Bennett","America","Brazil","Pajama Jawbreaker","R","Classics","2.99","4"
7356,"Jimmy","Schrader","Asia","Russian Federation","Beverly Outlaw","R","Sci-Fi","2.99","1"
8973,"Jenny","Castro","America","Puerto Rico","Cruelty Unforgiven","G","Classics","1.99","8"
8305,"Casey","Mena","Asia","Turkey","Streak Ridgemont","PG-13","Documentary","1.99","8"
13954,"Gertrude","Castillo","America","Greenland","Spy Mile","PG-13","Games","3.99","7"
4809,"Dustin","Gillette","Europe","Netherlands","Unforgiven Zoolander","PG","Sci-Fi","2.99","9"
4248,"Geraldine","Perkins","Asia","Israel","Comforts Rush","NC-17","Travel","6.99","7"
12075,"Ethel","Webb","Africa","South Africa","Poseidon Forever","PG-13","Sports","4.99","6"
10529,"Marcus","Hidalgo","Europe","Estonia","Cranes Reservoir","NC-17","Sports","4.99","7"
8586,"Jeremy","Hurtado","America","Brazil","Movie Shakespeare","PG","Family","7.99","8"
7950,"Thelma","Murray","America","Peru","Karate Moon","PG-13","Horror","4.99","8"
1385,"Earl","Shanks","Asia","Japan","Thin Sagebrush","PG-13","Documentary","4.99","3"
9769,"Roberto","Vu","Asia","China","Oz Liaisons","R","Animation","4.99","5"
8051,"Laurie","Lawrence","Asia","India","Watch Tracy","PG","Animation","0.99","1"
14357,"Lillie","Kim","Africa","Egypt","Operation Operation","G","Comedy","2.99","0"
12459,"Debra","Nelson","America","Brazil","Bowfinger Gables","NC-17","Horror","4.99","3"
1426,"Roy","Whiting","Africa","Kenya","Waterfront Deliverance","G","Action","4.99","3"
15937,"Kristen","Chavez","Asia","Japan","Nuts Ties","NC-17","New","4.99","1"
15793,"Laura","Rodriguez","Africa","Morocco","North Tequila","NC-17","Documentary","4.99","1"
10885,"Brent","Harkins","Asia","Turkey","Twisted Pirates","PG","Children","7.99","7"
7830,"Clara","Shaw","Europe","Belarus","Wolves Desire","NC-17","Travel","0.99","7"
3679,"Kurt","Emmons","Asia","Japan","Italian African","G","Travel","4.99","1"
11785,"Renee","Lane","America","United States","Mummy Creatures","NC-17","Sports","3.99","6"
11221,"Jamie","Rice","America","United States","Gone Trouble","R","Drama","2.99","1"
1513,"Harry","Arce","Asia","Iran","Dude Blindness","G","Sports","9.99","7"
14909,"Gail","Knight","Europe","Switzerland","Horror Reign","R","Travel","0.99","3"
12623,"Samantha","Duncan","America","Mexico","Slacker Liaisons","R","Drama","4.99","2"
14748,"Andrea","Henderson","Africa","Madagascar","Goodfellas Salute","PG","Sci-Fi","7.99","6"
15723,"Nathaniel","Adam","America","United States","Strangers Graffiti","R","Horror","8.99","8"
2956,"Jessie","Milam","Asia","China","Modern Dorado","PG","Documentary","0.99","2"
7666,"Alma","Austin","Europe","Germany","Cider Desire","PG","Documentary","3.99","8"
3868,"Jeffery","Pinson","Asia","Pakistan","Gaslight Crusade","PG","Horror","2.99","3"
9378,"Sue","Peters","Asia","China","Jaws Harry","G","Comedy","4.99","5"
12704,"Phyllis","Foster","Asia","China","Aladdin Calendar","NC-17","Sports","4.99","3"
6025,"Cindy","Fisher","America","Venezuela","Reunion Witches","R","Drama","0.99","0"
2187,"Dan","Paine","Europe","United Kingdom","Fargo Gandhi","G","Children","2.99","2"
11877,"Micheal","Forman","America","Argentina","Worker Tarzan","R","Travel","3.99","8"
11474,"Kristin","Johnston","America","United States","Casper Dragonfly","PG-13","Children","4.99","3"
11134,"Steve","Mackenzie","Asia","Indonesia","Minds Truman","PG-13","Action","10.99","8"
9267,"Rodney","Moeller","Africa","Nigeria","Cheaper Clyde","G","Sci-Fi","0.99","4"
3217,"Darrell","Power","America","Canada","Diary Panic","G","Drama","2.99","4"
12457,"Marilyn","Ross","Africa","Nigeria","Intentions Empire","PG-13","Animation","2.99",NULL
5105,"Kristina","Chambers","America","Venezuela","Mars Roman","NC-17","Games","2.99","7"
8557,"Tommy","Collazo","Asia","Iran","Flintstones Happiness","PG-13","Comedy","10.99","9"
7696,"Gloria","Cook","Oceania","French Polynesia","Salute Apollo","R","New","7.99","9"
14583,"Jon","Wiles","America","Bolivia","Eagles Panky","NC-17","New","4.99","2"
15332,"Lauren","Hudson","Europe","France","Rocky War","PG-13","Drama","4.99","1"
14259,"Marshall","Thorn","Europe","United Kingdom","Slums Duck","PG","Family","0.99","0"
7540,"Gertrude","Castillo","America","Greenland","Jason Trap","NC-17","Family","5.99","7"
4886,"Dustin","Gillette","Europe","Netherlands","Roses Treasure","PG-13","Sports","4.99","0"
5740,"Timothy","Bunn","America","Brazil","Intentions Empire","PG-13","Animation","2.99","1"
4412,"Jenny","Castro","America","Puerto Rico","Durham Panky","R","Sports","4.99","3"
